baterryNo,U,A,T,R,recordtime,recordTime,SOC
5,2184,102,127,4738,2022/1/3 12:04,01031204,0.9969535
5,2183,95,127,4738,2022/1/3 12:04,01031204,0.9969535
5,2184,102,127,4738,2022/1/3 12:04,01031204,0.9969535
5,2184,102,127,4738,2022/1/3 12:04,01031204,0.9969535
5,2188,101,128,4738,2022/1/3 12:04,01031204,0.9969535
5,2182,101,128,4738,2022/1/3 12:04,01031204,0.9969535
5,2184,104,128,4738,2022/1/3 12:05,01031205,0.9969015
5,2184,101,127,4738,2022/1/3 12:05,01031205,0.9969015
5,2185,101,128,4738,2022/1/3 12:05,01031205,0.9969015
5,2185,102,128,4738,2022/1/3 12:05,01031205,0.9969015
5,2185,95,128,4738,2022/1/3 12:05,01031205,0.9969015
5,2185,102,128,4738,2022/1/3 12:05,01031205,0.9969015
5,2185,112,127,4738,2022/1/3 12:06,01031206,0.9968455
5,2185,103,127,4738,2022/1/3 12:06,01031206,0.9968455
5,2185,103,127,4738,2022/1/3 12:06,01031206,0.9968455
5,2186,101,127,4738,2022/1/3 12:06,01031206,0.9968455
5,2186,101,127,4738,2022/1/3 12:06,01031206,0.9968455
5,2184,87,127,4738,2022/1/3 12:06,01031206,0.9968455
5,2185,103,127,4738,2022/1/3 12:07,01031207,0.996794
5,2186,103,127,4738,2022/1/3 12:07,01031207,0.996794
5,2186,102,127,4738,2022/1/3 12:07,01031207,0.996794
5,2186,101,127,4738,2022/1/3 12:07,01031207,0.996794
5,2186,104,127,4738,2022/1/3 12:07,01031207,0.996794
5,2186,101,127,4738,2022/1/3 12:07,01031207,0.996794
5,2186,103,127,4738,2022/1/3 12:08,01031208,0.9967425
5,2186,103,128,4738,2022/1/3 12:08,01031208,0.9967425
5,2186,101,128,4738,2022/1/3 12:08,01031208,0.9967425
5,2186,96,128,4738,2022/1/3 12:08,01031208,0.9967425
5,2186,102,128,4738,2022/1/3 12:08,01031208,0.9967425
5,2184,85,128,4738,2022/1/3 12:08,01031208,0.9967425
5,2186,85,128,4738,2022/1/3 12:09,01031209,0.9967
5,2187,101,128,4738,2022/1/3 12:09,01031209,0.9967
5,2187,102,128,4738,2022/1/3 12:09,01031209,0.9967
5,2187,99,128,4738,2022/1/3 12:09,01031209,0.9967
5,2187,102,128,4738,2022/1/3 12:09,01031209,0.9967
5,2194,89,128,4738,2022/1/3 12:09,01031209,0.9967
5,2187,89,128,4738,2022/1/3 12:10,01031210,0.9966555
5,2187,102,128,4738,2022/1/3 12:10,01031210,0.9966555
5,2185,78,128,4738,2022/1/3 12:10,01031210,0.9966555
5,2187,103,128,4738,2022/1/3 12:10,01031210,0.9966555
5,2186,90,128,4738,2022/1/3 12:10,01031210,0.9966555
5,2188,90,128,4738,2022/1/3 12:10,01031210,0.9966555
5,2188,101,128,4738,2022/1/3 12:11,01031211,0.996605
5,2188,102,128,4738,2022/1/3 12:11,01031211,0.996605
5,2186,86,128,4738,2022/1/3 12:11,01031211,0.996605
5,2188,102,128,4738,2022/1/3 12:11,01031211,0.996605
5,2188,102,128,4738,2022/1/3 12:11,01031211,0.996605
5,2188,103,128,4738,2022/1/3 12:11,01031211,0.996605
5,2187,102,128,4738,2022/1/3 12:12,01031212,0.996554
5,2188,103,128,4738,2022/1/3 12:12,01031212,0.996554
5,2188,102,128,4738,2022/1/3 12:12,01031212,0.996554
5,2188,102,128,4738,2022/1/3 12:12,01031212,0.996554
5,2189,90,128,4738,2022/1/3 12:12,01031212,0.996554
5,2189,102,128,4738,2022/1/3 12:12,01031212,0.996554
5,2189,102,128,4738,2022/1/3 12:13,01031213,0.996503
5,2189,101,128,4738,2022/1/3 12:13,01031213,0.996503
5,2188,101,128,4738,2022/1/3 12:13,01031213,0.996503
5,2189,103,128,4738,2022/1/3 12:13,01031213,0.996503
5,2188,68,128,4738,2022/1/3 12:13,01031213,0.996503
5,2189,102,128,4738,2022/1/3 12:13,01031213,0.996503
